category,expense,spent,date
Food,Lunch,150,2025-01-26
Transport,LRT,100,2025-01-26
Transport,Jeep,30,2025-01-26
Transport,Tricycle,15,2025-01-26
Utilities,Electricity,600,2025-01-27
Education,Books,250,2025-01-27
Subscription,Spotify,149,2025-01-28
Health,Medicine,300,2025-01-28
Housing,Rent,3000,2025-01-29
Essentials,Groceries,2000,2025-01-29
Fitness,Gym,120,2025-01-30
Entertainment,Cinema,400,2025-01-30
Entertainment,Gaming (Comshop),20,2025-01-30
Transport,Jeep,30,2025-01-30
Transport,Tricycle,15,2025-01-30
Loan,SSS,500,2025-01-30
